DipID,AreaNumb,Year,SampDate,SiteVis,SiteDry,NumDips,LarvFnd,TotCnt,AeCnt,AnCnt,CxCnt,VecCnt,Treat,Posttreat,Retreat,LarvDiv
229,4,2007,5/29/07,1,1,0,0,0,0,0,0,0,0,0,0,0
228,4,2007,5/29/07,1,0,2,1,8,0,0,8,8,1,0,0,1
1018,4,2007,7/17/07,1,1,0,0,0,0,0,0,0,0,1,0,0
1688,4,2007,8/21/07,1,0,3,1,41,41,0,0,0,0,1,0,1
2089,4,2007,9/11/07,1,0,4,1,32,32,0,0,0,0,1,0,1
2384,4,2007,9/27/07,1,1,0,0,0,0,0,0,0,0,1,0,0
2788,4,2008,5/28/08,1,1,0,0,0,0,0,0,0,0,0,0,0
3457,4,2008,6/23/08,1,1,0,0,0,0,0,0,0,0,0,0,0
4316,4,2008,7/17/08,1,1,0,0,0,0,0,0,0,0,0,0,0
6343,4,2009,7/8/09,1,1,0,0,0,0,0,0,0,0,0,0,0
7054,4,2009,8/4/09,1,1,0,0,0,0,0,0,0,0,0,0,0
7217,4,2009,8/11/09,1,1,0,0,0,0,0,0,0,0,0,0,0
7855,4,2010,6/2/10,1,1,0,0,0,0,0,0,0,0,0,0,0
9056,4,2010,7/27/10,1,1,0,0,0,0,0,0,0,0,0,0,0
9893,4,2010,8/24/10,1,1,0,0,0,0,0,0,0,0,0,0,0
10304,4,2011,5/31/11,1,1,0,0,0,0,0,0,0,0,0,0,0
13496,4,2011,7/14/11,1,1,0,0,0,0,0,0,0,0,0,0,0
11501,4,2011,8/2/11,1,1,0,0,0,0,0,0,0,0,0,0,0
13868,4,2012,6/7/12,1,1,0,0,0,0,0,0,0,0,0,0,0
14580,4,2012,7/3/12,1,1,0,0,0,0,0,0,0,0,0,0,0
15294,4,2012,7/24/12,1,0,0,0,0,0,0,0,0,0,0,0,0
16241,4,2013,6/5/13,1,1,0,0,0,0,0,0,0,0,0,0,0
17271,4,2013,7/31/13,1,1,0,0,0,0,0,0,0,0,0,0,0
17697,4,2013,8/13/13,1,1,0,0,0,0,0,0,0,0,0,0,0
18675,4,2014,6/9/14,1,1,0,0,0,0,0,0,0,0,0,0,0
19455,4,2014,7/11/14,1,1,0,0,0,0,0,0,0,0,0,0,0
20312,4,2014,8/5/14,1,0,4,1,28,26,0,2,2,0,0,0,2
21788,4,2015,5/28/15,1,1,0,0,0,0,0,0,0,0,0,0,0
21988,4,2015,6/8/15,1,1,0,0,0,0,0,0,0,0,0,0,0
22036,4,2015,6/15/15,1,1,0,0,0,0,0,0,0,0,0,0,0
22318,4,2015,6/24/15,1,1,0,0,0,0,0,0,0,0,0,0,0
22497,4,2015,7/6/15,1,1,0,0,0,0,0,0,0,0,0,0,0
22749,4,2015,7/13/15,1,1,0,0,0,0,0,0,0,0,0,0,0
22963,4,2015,7/20/15,1,1,0,0,0,0,0,0,0,0,0,0,0
23170,4,2015,7/27/15,1,1,0,0,0,0,0,0,0,0,0,0,0
23380,4,2015,8/3/15,1,1,0,0,0,0,0,0,0,0,0,0,0
23586,4,2015,8/10/15,1,1,0,0,0,0,0,0,0,0,0,0,0
23734,4,2015,8/18/15,1,1,0,0,0,0,0,0,0,0,0,0,0
23982,4,2015,8/31/15,1,1,0,0,0,0,0,0,0,0,0,0,0
24694,4,2016,7/5/16,1,1,0,0,0,0,0,0,0,0,0,0,0
25304,4,2016,7/27/16,1,1,0,0,0,0,0,0,0,0,0,0,0
26074,4,2016,8/30/16,1,1,0,0,0,0,0,0,0,0,0,0,0
26561,4,2017,6/7/17,1,1,0,0,0,0,0,0,0,0,0,0,0
27149,4,2017,7/6/17,1,1,0,0,0,0,0,0,0,0,0,0,0
27811,4,2017,8/1/17,1,1,0,0,0,0,0,0,0,0,0,0,0
29161,4,2018,7/5/18,1,1,0,0,0,0,0,0,0,0,0,0,0
29875,4,2018,8/1/18,1,1,0,0,0,0,0,0,0,0,0,0,0
226,5,2007,5/29/07,1,1,0,0,0,0,0,0,0,0,0,0,0
1019,5,2007,7/17/07,1,0,1,1,11,0,0,11,11,1,0,0,1
1687,5,2007,8/21/07,1,0,0,0,0,0,0,0,0,0,1,0,0
2090,5,2007,9/11/07,1,0,4,1,20,20,0,0,0,0,1,0,1
2385,5,2007,9/27/07,1,0,0,0,0,0,0,0,0,0,1,0,0
3458,5,2008,6/23/08,1,0,0,0,0,0,0,0,0,0,0,0,0
4290,5,2008,7/17/08,1,1,0,0,0,0,0,0,0,0,0,0,0
5012,5,2008,8/20/08,1,0,3,1,38,27,0,11,11,1,0,0,3
5169,5,2008,8/25/08,1,0,0,0,0,0,0,0,0,0,1,0,0
5763,5,2009,6/10/09,1,0,1,1,19,13,0,4,4,1,0,0,3
5805,5,2009,6/15/09,1,0,0,0,0,0,0,0,0,0,1,0,0
6347,5,2009,7/8/09,1,1,0,0,0,0,0,0,0,0,1,0,0
7218,5,2009,8/11/09,1,0,3,1,44,44,0,0,0,0,1,0,1
7748,5,2010,5/26/10,1,0,12,1,4,4,0,0,0,0,0,0,1
7854,5,2010,6/2/10,1,1,0,0,0,0,0,0,0,0,0,0,0
7983,5,2010,6/10/10,1,0,5,1,29,29,0,0,0,0,0,0,1
8134,5,2010,6/15/10,1,0,10,1,3,3,0,0,0,0,0,0,1
8238,5,2010,6/21/10,1,1,0,0,0,0,0,0,0,0,0,0,0
8462,5,2010,6/28/10,1,0,2,1,116,110,0,6,6,1,0,0,2
8583,5,2010,7/7/10,1,0,2,1,45,44,0,1,1,0,1,0,2
8686,5,2010,7/12/10,1,1,0,0,0,0,0,0,0,0,1,0,0
8831,5,2010,7/19/10,1,0,2,1,32,32,0,0,0,0,1,0,1
9057,5,2010,7/27/10,1,1,0,0,0,0,0,0,0,0,1,0,0
9360,5,2010,8/3/10,1,0,2,1,3,3,0,0,0,0,1,0,1
9580,5,2010,8/10/10,1,0,3,1,70,70,0,0,0,0,1,0,2
9714,5,2010,8/17/10,1,0,1,1,22,21,0,1,1,0,1,0,2
9892,5,2010,8/24/10,1,0,1,1,44,44,0,0,0,0,1,0,2
13405,5,2011,5/24/11,1,1,0,0,0,0,0,0,0,0,0,0,0
10303,5,2011,5/31/11,1,1,0,0,0,0,0,0,0,0,0,0,0
10434,5,2011,6/7/11,1,1,0,0,0,0,0,0,0,0,0,0,0
10502,5,2011,6/13/11,1,1,0,0,0,0,0,0,0,0,0,0,0
10580,5,2011,6/20/11,1,1,0,0,0,0,0,0,0,0,0,0,0
10649,5,2011,6/27/11,1,1,0,0,0,0,0,0,0,0,0,0,0
10815,5,2011,7/7/11,1,1,0,0,0,0,0,0,0,0,0,0,0
10822,5,2011,7/7/11,1,1,0,0,0,0,0,0,0,0,0,0,0
10806,5,2011,7/11/11,1,1,0,0,0,0,0,0,0,0,0,0,0
10961,5,2011,7/18/11,1,1,0,0,0,0,0,0,0,0,0,0,0
11241,5,2011,7/25/11,1,1,0,0,0,0,0,0,0,0,0,0,0
11531,5,2011,8/1/11,1,1,0,0,0,0,0,0,0,0,0,0,0
11683,5,2011,8/9/11,1,1,0,0,0,0,0,0,0,0,0,0,0
11786,5,2011,8/16/11,1,1,0,0,0,0,0,0,0,0,0,0,0
11787,5,2011,8/23/11,1,1,0,0,0,0,0,0,0,0,0,0,0
13550,5,2011,9/6/11,1,1,0,0,0,0,0,0,0,0,0,0,0
13665,5,2012,5/29/12,1,0,3,1,1,1,0,0,0,0,0,0,1
13773,5,2012,6/4/12,1,1,0,0,0,0,0,0,0,0,0,0,0
