AreaNumb,lon,lat,Hclust,faith_pd,observed_features,inv_simpson,cfus_per_ml
4,-89.47844444,43.12076944,1,11.90202902,134,42.548169,19860
5,-89.47844444,43.12191111,1,12.69919543,109,30.498604,44100
6,-89.47715556,43.1227,1,5.993212441,47,9.047001,1416
13,-89.47806944,43.11892778,1,13.26960864,148,65.442384,45150
26,-89.48426389,43.10756944,1,16.65515568,187,55.220457,30000
83,-89.50447222,43.09052778,1,11.56778708,132,11.220981,112200
86,-89.50010556,43.10975833,1,7.533620556,65,10.550709,1644
88,-89.49783056,43.10285,1,13.58483841,160,42.203808,93300
158,-89.38168889,43.04834722,1,14.92724573,145,33.539102,8610
189,-89.6616,43.01384722,1,10.66222806,117,25.842316,15600
245,-89.49016389,43.03411389,1,9.833165793,70,32.941996,11136
247,-89.49218333,43.03497778,1,9.4862982,103,14.03266,2904
251,-89.51806667,43.07958611,1,10.51314182,99,17.198831,94200
253,-89.51549167,43.07745,1,11.57992899,123,18.20238,69900
254,-89.51120278,43.07630278,1,8.272898804,62,24.49984,225
256,-89.51801667,43.074575,1,9.884975037,115,50.107229,15300
319,-89.35991667,43.04080278,1,9.249714877,77,11.531147,4740
335,-89.364975,43.12642222,1,14.0284613,144,19.204905,2008
340,-89.31334722,43.14226667,1,14.09367946,139,37.249939,4912.5
369,-89.31290833,43.11774444,1,14.86365125,124,52.294245,11340
371,-89.31055833,43.11743889,1,8.973075437,131,47.380692,82800
391,-89.30621667,43.10028889,1,10.47146647,115,18.709259,6690
417,-89.33190556,43.12319722,1,11.60527438,115,48.050471,34260
465,-89.29354722,43.07357222,1,8.686052292,63,11.234442,2776
513,-89.38829444,43.15345,1,7.831510459,64,10.928624,397.5
515,-89.33330278,43.12271944,1,13.5573717,143,35.90626,3195
522,-89.29591667,43.08308889,1,9.800363595,77,36.26379,2955
523,-89.35634722,43.14234444,1,8.563817042,93,23.809578,7800
526,-89.29544444,43.11115833,1,8.991736014,117,38.030996,720000
530,-89.28890556,43.09276111,1,9.433082501,81,11.012551,1356
552,-89.45761667,43.07096111,1,14.37754974,149,36.713497,162000
556,-89.51350556,43.04669722,1,13.41217797,105,29.196539,11070
558,-89.323125,43.08922222,1,8.803049421,70,12.866812,2085
559,-89.32634722,43.09070556,1,10.11837407,82,18.401652,1185
565,-89.50508333,43.05072778,1,11.34539912,124,36.347089,6540
567,-89.33991667,43.09568611,1,9.396572815,63,11.332378,150
587,-89.34074167,43.12554167,1,8.454247572,86,27.529066,748800
590,-89.48964444,43.08918611,1,13.39175471,123,52.419694,12000
