AreaNumb,Hclust,Taxon,Count
4,1,all,155
5,1,all,115
6,1,all,47
13,1,all,163
26,1,all,202
81,2,all,99
83,1,all,146
86,1,all,66
88,1,all,185
158,1,all,171
164,2,all,74
189,1,all,122
218,2,all,25
243,2,all,104
245,1,all,70
247,1,all,118
249,2,all,78
251,1,all,106
253,1,all,128
254,1,all,62
256,1,all,123
319,1,all,80
335,1,all,153
340,1,all,145
369,1,all,140
371,1,all,152
584,2,all,93
391,1,all,128
397,2,all,78
417,1,all,117
465,1,all,64
513,1,all,69
515,1,all,152
522,1,all,78
523,1,all,97
526,1,all,140
530,1,all,84
552,1,all,155
556,1,all,106
558,1,all,75
559,1,all,88
565,1,all,127
567,1,all,64
583,2,all,123
587,1,all,95
590,1,all,127
597,1,all,121
607,1,all,46
615,1,all,108
618,1,all,100
619,1,all,126
620,1,all,123
676,1,all,110
700,1,all,151
715,2,all,95
718,2,all,92
719,2,all,131
724,2,all,48
725,1,all,108
900,1,all,129
969,2,all,104
972,1,all,80
973,1,all,58
975,1,all,78
978,1,all,143
1931,1,all,196
1932,1,all,115
2041,2,all,144
3262,2,all,58
3333,1,all,147
3921,2,all,158
3922,1,all,121
4022,1,all,98
4130,1,all,148
8300,2,all,85
8301,1,all,40
8512,2,all,67
9007,1,all,221
9009,1,all,68
9014,1,all,145
9019,1,all,136
9098,1,all,149
9601,1,all,251
9970,1,all,75
9971,1,all,113
4,1,actino,5
5,1,actino,2
6,1,actino,0
13,1,actino,5
26,1,actino,13
81,2,actino,6
83,1,actino,5
86,1,actino,1
88,1,actino,6
158,1,actino,11
164,2,actino,11
189,1,actino,2
218,2,actino,1
243,2,actino,8
245,1,actino,2
247,1,actino,2
249,2,actino,6
251,1,actino,5
253,1,actino,5
254,1,actino,1
256,1,actino,2
319,1,actino,1
335,1,actino,2
340,1,actino,14
369,1,actino,5
371,1,actino,2
584,2,actino,12
391,1,actino,7
397,2,actino,18
417,1,actino,1
465,1,actino,2
513,1,actino,16
515,1,actino,14
522,1,actino,17
523,1,actino,2
526,1,actino,3
530,1,actino,4
552,1,actino,0
556,1,actino,4
558,1,actino,5
559,1,actino,8
565,1,actino,2
