AreaNumb,Hclust,PercSiteDry,TotTreat,PercTreat,PercLarvFnd,PercAeFnd,PercAnFnd,PercCxFnd,PercNonVecFnd,PercVecFnd,AvgLarvDens,AvgAeDens,AvgAnDens,AvgCxDens,AvgNonVecDens,AvgVecDens
S4,1,89.36170213,1,20,66.66666667,33.33333333,0,66.66666667,0,66.66666667,3.666666667,2.166666667,0,1.5,0,1.5
S5,1,64.70588235,4,13.33333333,88.23529412,82.35294118,0,29.41176471,0,29.41176471,7.334313725,5.898039216,0,1.318627451,0,1.318627451
S6,1,60.97560976,2,12.5,33.33333333,33.33333333,0,16.66666667,0,16.66666667,18.87152778,17.78819444,0,1.083333333,0,1.083333333
S13,1,12.8,4,3.669724771,49.25373134,26.86567164,10.44776119,37.31343284,11.94029851,25.37313433,1.94409409,0.95989011,0.036211798,0.946997157,0.342430704,0.576208244
S26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S81,2,9.375,32,22.06896552,52.08333333,10.41666667,8.333333333,33.33333333,6.25,33.33333333,3.594327201,0.780059524,0.045833333,2.74760101,0.045454545,2.702146465
S83,1,0,5,10.41666667,24.32432432,13.51351351,0,16.21621622,8.108108108,10.81081081,13.06157311,11.10654886,0,1.955024255,0.123076923,1.829244629
S86,1,8.571428571,1,3.125,32.14285714,10.71428571,3.571428571,21.42857143,14.28571429,7.142857143,1.238690476,0.175,0.003571429,0.95297619,0.67202381,0.271428571
S88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S158,1,5.64516129,15,12.82051282,32.3943662,16.90140845,1.408450704,19.71830986,4.225352113,18.30985915,1.470486556,0.755046948,0.004694836,0.710744772,0.032511737,0.678233035
S164,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S189,1,0.740740741,18,13.43283582,44.26229508,18.03278689,3.278688525,40.98360656,8.196721311,40.98360656,5.666744731,0.156830601,0.007786885,5.502127244,0.045218579,5.456908665
S218,2,16.37931034,4,4.12371134,20.25316456,6.329113924,1.265822785,13.92405063,2.53164557,8.860759494,1.597257384,0.796624473,0.002531646,0.792405063,0.058227848,0.717721519
S243,2,10.75268817,46,27.71084337,62.5,12.5,0,56.25,3.125,56.25,11.54635417,0.1125,0,11.43385417,0.078125,11.35572917
S245,1,39.74358974,23,24.46808511,75,39.28571429,7.142857143,60.71428571,3.571428571,60.71428571,6.256611395,2.979017857,0.025,3.252593537,0.053571429,3.199022109
S247,1,5.649717514,58,34.73053892,57.14285714,5.714285714,0,57.14285714,0,54.28571429,10.15912698,0.057142857,0,10.10198413,0,10.05436508
S249,2,4.635761589,10,6.944444444,26.26262626,2.02020202,2.02020202,23.23232323,3.03030303,17.17171717,1.902601775,0.008417508,0.005555556,1.881052954,0.026094276,1.835521886
S251,1,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S254,1,9.248554913,40,25.47770701,65.78947368,13.15789474,0,60.52631579,0,60.52631579,11.47940685,0.585964912,0,10.89344194,0,10.89344194
S256,1,11.76470588,20,14.81481481,24.48979592,2.040816327,0,22.44897959,0,22.44897959,3.555359806,0.014577259,0,3.540782547,0,3.540782547
