"AreaNumb","lon","lat","Hclust","AvgLSTDay","AvgLSTNight","AvgEVI","AvgNDVI","AvgGpp","AvgNpp"
"S4",-89.47844444,43.12076944,1,300.910617486339,285.608344262295,0.481902196721311,0.666030059016393,0.0503431672131148,0.648543649090909
"S5",-89.47844444,43.12191111,1,302.19185840708,288.01118879056,0.398610619469027,0.600376991150443,0.0481079646017699,0.601075
"S6",-89.47715556,43.1227,1,300.827890909091,285.295806060606,0.425704250909091,0.609886670909091,0.0478436363636364,0.636575510204082
"S13",-89.47806944,43.11892778,1,301.628459694989,287.928366013072,0.43913660130719,0.646856862745098,0.0556647058823529,0.624721818181818
"S26",-89.48426389,43.10756944,1,302.318333325,288.322222216667,0.53115,0.735575,0.0282333,0.59165
"S81",-89.512625,43.08749444,2,304.962468646865,288.823101160862,0.404148762376238,0.654917821782178,0.0463747524752475,0.559414534883721
"S83",-89.50447222,43.09052778,1,304.256916666667,289.229065972222,0.380971754166667,0.6277120375,NA,NA
"S86",-89.50010556,43.10975833,1,302.384521164021,286.695645502645,0.402433333333333,0.608657142857143,NA,NA
"S88",-89.49783056,43.10285,1,300.798232240437,287.681825136612,0.502840422131148,0.721553154918033,NA,NA
"S158",-89.38168889,43.04834722,1,303.047883333333,289.249731481481,0.364028055555556,0.485427777777778,NA,NA
"S164",-89.38135556,43.03361111,2,305.64676344086,289.14423655914,0.361059677419355,0.517688709677419,NA,NA
"S189",-89.6616,43.01384722,1,304.363646532439,287.147635346756,0.436337919463087,0.613272818791946,0.0444697986577181,0.573176335877863
"S218",-89.54046111,43.07973889,2,305.892113425926,288.001134259259,0.409267708333333,0.619869444444444,0.0474465277777778,0.608023622047244
"S243",-89.49573889,43.0433,2,307.64944510978,290.530503992016,0.47197125748503,0.69566497005988,NA,NA
"S245",-89.49016389,43.03411389,1,304.413205387205,289.112351851852,0.469586111111111,0.697484848484848,0.051175,0.62303552631579
"S247",-89.49218333,43.03497778,1,303.751417073171,288.612204878049,0.492557073170732,0.69622243902439,0.0531685365853659,0.625786781609195
"S249",-89.515725,43.08647778,2,304.866046464647,289.678866666667,0.417208275151515,0.677431312727273,0.0489624242424242,0.5789025
"S251",-89.51806667,43.07958611,1,306.818877551021,289.707455782313,0.356255769387755,0.541102734693878,0.0493163265306122,0.582134090909091
"S253",-89.51549167,43.07745,1,306.087333333333,290.01268,0.396338,0.612964,NA,NA
"S254",-89.51120278,43.07630278,1,305.26729985444,288.614957787482,0.419487336244541,0.641690720524017,NA,NA
"S256",-89.51801667,43.074575,1,305.420121212121,287.99855661882,0.434977516746411,0.678116425837321,0.0444062200956938,0.567020245398773
"S319",-89.35991667,43.04080278,1,301.915271762208,288.563267515924,0.37519872611465,0.531720382165605,NA,NA
"S335",-89.364975,43.12642222,1,302.421598039216,290.922913165266,0.413864705882353,0.625006512605042,0.0455252100840336,0.590307441860465
"S340",-89.31334722,43.14226667,1,301.939159852222,286.980168722068,0.552636979166667,0.730905968518519,0.0546526986111111,0.6411577625
"S369",-89.31290833,43.11774444,1,307.040167530225,289.546970639033,0.347315711398964,0.471258894300518,NA,NA
"S371",-89.31055833,43.11743889,1,305.918656378601,290.263594650206,0.31923724691358,0.456316865432099,NA,NA
"S391",-89.30621667,43.10028889,1,304.829774305556,288.989996527778,0.48902015,0.709762489583333,0.049903125,0.599289534883721
"S397",-89.27967778,43.07508611,2,300.460878787879,290.548642424242,0.425025454545455,0.620681818181818,NA,NA
"S417",-89.33190556,43.12319722,1,305.6603125,289.14975,0.234403125,0.337903125,NA,NA
"S465",-89.29354722,43.07357222,1,304.068133333333,289.22525,0.475357083333333,0.688998541666667,NA,NA
"S513",-89.38829444,43.15345,1,300.165906193078,288.589822404372,0.499260836612022,0.73520053989071,0.0568035519125683,0.628197385620915
"S515",-89.33330278,43.12271944,1,305.648083333333,289.570486111111,0.242560416666667,0.349977083333333,NA,NA
"S522",-89.29591667,43.08308889,1,303.583715686275,288.68868627451,0.45160197254902,0.706595084313726,0.0514411764705882,0.57575
"S523",-89.35634722,43.14234444,1,301.702079545455,289.774840909091,0.468525,0.6796125,0.0549215909090909,0.608027272727273
"S526",-89.29544444,43.11115833,1,298.87348245614,286.304023391813,0.367573684210526,0.564183771929825,NA,NA
"S530",-89.28890556,43.09276111,1,304.791952380952,289.392089285714,0.473208933928571,0.698147010714286,0.0491357142857143,0.561094680851064
"S552",-89.45761667,43.07096111,1,303.251431693989,289.12549726776,0.33068606557377,0.495889344262295,NA,NA
"S556",-89.51350556,43.04669722,1,306.63939047619,288.943822222222,0.43516380952381,0.626260476190476,0.0463104761904762,0.584564666666667
"S558",-89.323125,43.08922222,1,303.631480392157,292.470754901961,0.444688235294118,0.643951961764706,0.0455823529411765,0.56898275862069
"S559",-89.32634722,43.09070556,1,301.669743589744,292.213957264957,0.423869230769231,0.622420512820513,NA,NA
"S565",-89.50508333,43.05072778,1,306.411307692308,289.046352564103,0.341709615384615,0.500148076923077,NA,NA
"S567",-89.33991667,43.09568611,1,304.845333333333,290.941843137255,0.454041176470588,0.657102941176471,NA,NA
"S583",-89.38722778,43.03946389,2,306.509203065134,288.812053639847,0.275204597701149,0.432375287356322,0.0422011494252874,0.54935223880597
"S584",-89.51110278,43.07431944,2,310.308,294.455,0.386775,0.7218,NA,NA
"S587",-89.34074167,43.12554167,1,305.590064102564,288.202782051282,0.221367307692308,0.319640384615385,NA,NA
"S590",-89.48964444,43.08918611,1,299.988307511737,288.64323943662,0.468604929577465,0.734246830985915,0.059825352112676,0.761286086956522
"S597",-89.38666389,43.13283333,1,300.485851168512,291.143303813038,0.435290036900369,0.698452767527675,0.05130036900369,0.606239647577092
"S598",-89.38125278,43.134725,1,301.738227642276,290.856650406504,0.481026829268293,0.690913414634146,0.0473219512195122,0.608743243243243
"S607",-89.26714722,43.08791389,1,304.115442834138,288.361134460547,0.486390339613527,0.678193569082126,0.054362077294686,0.635285714285714
"S615",-89.32553056,43.13396944,1,304.400416666667,289.719583333333,0.582466666666667,0.77554445,0.0356833333333333,0.5261
"S618",-89.3337,43.12763056,1,306.049692982456,288.903125730994,0.307465789473684,0.447821929824561,NA,NA
"S619",-89.32794167,43.13006944,1,305.679357843137,288.432014705882,0.413381176470588,0.582723823529412,NA,NA
"S620",-89.36897222,43.04421667,1,302.015825396825,288.766813492063,0.368361904761905,0.520832142857143,NA,NA
"S676",-89.21322778,43.18977222,1,308.033556701031,288.158745704467,0.476364432989691,0.686725257731959,0.049579381443299,0.626976086956522
"S700",-89.23120833,43.17474722,1,304.812440650407,286.242979674797,0.511220585365854,0.680248682926829,0.0519448780487805,0.640882887700535
"S715",-89.22604167,43.20223889,2,303.412036458333,287.886786458333,0.5877203125,0.731903125,0.04845625,0.573928813559322
"S718",-89.23279722,43.18917222,2,308.950924242424,286.370636363636,0.332045454545455,0.534123863636364,NA,NA
"S719",-89.23351389,43.19089444,2,308.364305084746,285.916435028249,0.417309322033898,0.637970338983051,NA,NA
"S724",-89.23390278,43.18931389,2,307.628195833333,286.323454166667,0.36508875,0.5906825,NA,NA
"S725",-89.31279167,43.14066389,1,303.300313358302,286.214456928839,0.540368539325843,0.746305992509363,0.0540498127340824,0.653040248962656
"S900",-89.34376667,43.06428889,1,297.231920634921,292.772515873016,0.450577380952381,0.690504761904762,0.0522738095238095,0.630891428571429
"S969",-89.32712778,43.08829444,2,304.815,292.95,0.4188,0.6352,NA,NA
"S972",-89.2753,43.09343611,1,302.856577235772,288.235292682927,0.394178048780488,0.606468292682927,0.0483975609756098,0.619479487179487
"S973",-89.27407222,43.09425278,1,303.15002631579,288.677228070175,0.362823684210526,0.578644736842105,0.0490605263157895,0.611685714285714
"S975",-89.26009722,43.10168889,1,302.205,286.941166666667,0.4270625,0.61055,0.0545,0.6368
"S978",-89.25681667,43.08764167,1,302.624808333333,288.386466666667,0.46607251,0.67937332,0.0601775,0.647052857142857
"S1931",-89.50446667,43.01480278,1,305.081921568627,287.423189542484,0.381011764705882,0.566408823529412,0.0407843137254902,0.550789361702128
"S1932",-89.50401944,43.01341667,1,303.789235489221,286.760756218905,0.368613432835821,0.542099004975124,0.0458582089552239,0.532412021857923
"S2041",-89.50436667,43.03880556,2,304.055085106383,288.533070921986,0.487508510638298,0.668455319148936,NA,NA
"S3262",-89.37706944,43.09469722,2,300.305237845625,292.767369792552,0.37591625,0.5919225,0.041784375,0.566842857142857
"S3333",-89.37298611,43.13175,1,302.11163583815,290.486674373796,0.475681791907514,0.688554624277457,0.0495589595375723,0.616212345679012
"S3921",-89.31273056,43.10533056,2,300.539317757009,286.647090342679,0.434380709345794,0.695277282242991,0.0402836448598131,0.579090909090909
"S3922",-89.31119722,43.10498889,1,305.306713876967,289.332957081545,0.451972961373391,0.713660622317597,0.0444639484978541,0.579215714285714
"S4022",-89.332275,43.09829444,1,306.37849047619,292.780633333333,0.463840714285714,0.653610714285714,NA,NA
"S4130",-89.35785833,43.14571389,1,304.808333333333,290.789333333333,0.5477,0.758833333333333,0.0527333333333333,0.555
"S8300",-89.32039722,43.09703333,2,306.53084,291.594453333333,0.285618,0.46369,NA,NA
"S8301",-89.36995556,43.02939167,1,303.432454545455,288.327393939394,0.535536363636364,0.720954545454545,0.0525,0.588663157894737
"S8512",-89.49755278,43.04162222,2,306.054893939394,289.1985,0.491578787878788,0.704390909090909,0.0549424242424242,0.622422222222222
"S9007",-89.52747222,43.10549722,1,305.044761904762,288.297571428571,0.403325,0.538882142857143,0.0408285714285714,0.515390909090909
"S9009",-89.41257778,43.04494444,1,299.950310077519,289.927968992248,0.596025581395349,0.778467441860465,0.0647581395348837,0.627221621621622
"S9014",-89.48355,43.03571944,1,304.299345238095,289.470166666667,0.503771428571429,0.742760714285714,NA,NA
"S9019",-89.37782778,43.03843056,1,303.643794871795,289.007376068376,0.519548717948718,0.717233333333333,0.0497307692307692,0.587417647058824
"S9098",-89.36595278,43.12641389,1,299.470743589744,290.809769230769,0.4424923,0.673369230769231,0.0452769230769231,0.605472727272727
"S9601",-89.36846944,43.04263611,1,301.407040816327,287.53087755102,0.451960204081633,0.57470612244898,NA,NA
"S9970",-89.36821389,43.129475,1,301.944425925926,291.221981481481,0.389272222222222,0.575266666666667,NA,NA
