Order,AreaNumb,Taxon,Rel,Hclust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Actinobacteria,0.086672941,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Bacteroidetes,0.045543529,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Cyanobacteria,0.019628235,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Firmicutes,0.054607059,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Planctomycetes,0.041929412,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Proteobacteria,0.60656,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Verrucomicrobia,0.036569412,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,Other,0.108489412,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Actinobacteria,0.021645446,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Bacteroidetes,0.121351616,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Cyanobacteria,0.004799216,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Firmicutes,0.090107738,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Planctomycetes,0.035063663,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Proteobacteria,0.556904995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Verrucomicrobia,0.075024486,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,Other,0.09510284,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Actinobacteria,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Bacteroidetes,0.153801509,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Cyanobacteria,0.001741149,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Firmicutes,0.138131167,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Planctomycetes,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Proteobacteria,0.655252467,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Verrucomicrobia,0.002321532,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,Other,0.048752176,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,Actinobacteria,0.02163823,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,Bacteroidetes,0.117408642,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,Cyanobacteria,0.029744394,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,Firmicutes,0.019415572,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,Planctomycetes,0.010982546,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,Proteobacteria,0.715695888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,Verrucomicrobia,0.038961888,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,Other,0.04615284,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,Actinobacteria,0.02743381,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,Bacteroidetes,0.163166176,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,Cyanobacteria,0.047136895,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,Firmicutes,0.017308613,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,26,Planctomycetes,0.010125197,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
